V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,A,A1,A2,A3,A4,A5,A6,A7,A7.1,A8,A0,A1.0,A2.0,A3.0,A4.0,A5.0,A6.0,A7.0,A8.0,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A0.0,A1.1,A2.1,A3.1,A4.1,A5.1,A6.1,A7.2,A8.1,A9.0,A10.0,A11.0,A12.0,A13.0,A14.0,A15.0,A0.1,A1.2,A2.2,A3.2,A4.2,A5.2,A6.2,A7.3,A8.2,A9.1,A10.1,LocationLatitude,LocationLongitude,LocationAccuracy
R_4OXOGDGBEwtHMq1,Default Response Set,Anonymous, , ,129.118.143.72,0,10/19/2012,10/19/2012,1,1,1,33,3,45,1,1,2,1,100,1,2,2,1,1,1,1,1,2,3,3,4,1,1,1,3,4,3,3,3,3,3,2,4,3,3,2,1,2,2,2,2,2,3,2,2,2,2,2,2,1,1,1,1,3,2,3,3,3,3,3,2,2,3, , ,-1
R_e3xJKpm5XNyl2L3,Default Response Set,Anonymous, , ,129.118.143.66,0,10/19/2012,10/19/2012,1,1,2,33,3,50,1,1,2,1,102,1,3,3,2,2,2,1,1,2,3,2,3,1,1,1,2,3,2,2,2,3,2,3,3,3,3,1,1,1,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,3,3,4,3,3,4,3,2,2, , ,-1
R_9B51NMIk31PfwSp,Default Response Set,Anonymous, , ,129.118.227.5,0,10/19/2012,10/19/2012,1,1,2,27,3,51,2,1,1, ,79-95,1,3,3,2,2,2,1,1,3,3,2,3,1,1,1,2,2,2,2,2,2,1,3,3,5,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,2,3,3,3,3,2,2,2,3, , ,-1
R_9KOniYOdITFMsst,Default Response Set,Anonymous, , ,75.110.215.173,0,10/19/2012,10/19/2012,1,1,2,28,3,29,1,2,2,1,109,1,3,3,1,1,1,1,1,1,1,3,4,1,1,1,1,1,2,2,1,1,3,5,4,5,2,1,1,2,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,3,2,2,4,3,3,2,2,4,4, , ,-1
R_3JmGzp8adXzngih,Default Response Set,Anonymous, , ,129.118.43.136,0,10/22/2012,10/22/2012,1,1,1,29,3,36,1,2,2,1,90,1,2,1,1,1,1,1,1,2,2,3,4,1,1,1,2,3,2,2,1,1,2,3,3,3,4,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,3,3,4,3,3,3,2,3,3,3, , ,-1
R_3gvQoLAxU1cJzQF,Default Response Set,Anonymous, , ,74.196.212.240,0,10/22/2012,10/22/2012,1,1,2,35,3,42,1,1,2,2,0,1,3,1,2,2,2,1,1,1,1,1,1,6,1,1,1,1,2,2,1,1,1,5,3,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,4,4,4,2,2,2, , ,-1
R_9tOFKFGdKdxa2bP,Default Response Set,Anonymous, , ,75.111.163.234,0,10/22/2012,10/22/2012,1,1,2,31,1,42months,1,1,2,3,100,1,3,3,2,2,2,1,1,3,3,3,3,1,1,1,2,2,2,2,3,2,3,3,3,3,3,1,1,2,2,2,3,3,2,2,2,3,2,2,3,1,1,1,1,4,2,2,3,3,2,2,3,3,3, , ,-1
R_86Rx6zkHfq931qZ,Default Response Set,Anonymous, , ,129.118.253.238,0,10/22/2012,10/22/2012,1,1,2,24,3,22,1,2,2,1,90,1,2,3,1,1,1,1,1,2,3,4,4,1,1,1,2,2,2,2,2,2,3,3,3,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,3,3,3,2,2,2,3, , ,-1
R_eKcpkyLhWmYz34p,Default Response Set,Anonymous, , ,70.238.223.184,0,10/22/2012,10/22/2012,1,1,2,21,1,37,1,1,2,1,65-78,1,2,2,2,1,1,1,1,3,3,3,3,1,1,1,2,2,2,2,2,1,1,3,4,4,3,1,1,3,2,3,3,2,3,3,2,2,2,2,2,1,1,1,1,3,3,2,2,3,3,2,3,2,1, , ,-1
R_816ct4WGuomxfVz,Default Response Set,Anonymous, , ,75.111.54.82,0,10/22/2012,10/22/2012,1,1,2,27,3,50,2,2,2,3,94,1,3,3,2,2,2,1,1,1,2,3,3,1,1,1,1,2,3,3,2,1,1,3,3,3,4,1,1,2,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,2,3,3,3,3,3,2,3,3, , ,-1
