V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,Q2,Q20,1,2,3,Q89,Q90,1,2_1,2_2,3_1,3_2,4_1,4_2,5_1,5_2,6_1,6_2,7_1,7_2,8_1,8_2,9_1,9_2,10_1,10_2,11_1,11_2,12_1,12_2,13_1,13_2,14_1,14_2,15_1,15_2,16_1,16_2,17_1,17_2,18_1,18_2,,1_1,2_1,3_1,4_1,5_1,6_1,7_1,8_1,9_1,10_1,11_1,12_1,13_1,14_1,15_1,16_1,17_1,18_1,19_1,20_1,21_1,22_1,23_1,24_1,25_1,Q17,1,2,3,4,5,6,7,8,9,10,11,12,13,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Informed Consent Form  / Below please read the letter of informed consent for participating in this st...,"I have read, understood, and printed a copy of, the above consent form and desire of my own free wil...",Thank you very much /  /    / I would like to thank you for taking the time to participate in this survey...,What is your gender?,How old are you?,How long have you been in the United States?,What kind of degree is being pursued?,What is your current GPA?,Acculturation Index Directions: This section / is concerned with how you view yourself / in relation to...,Dressing style-I maintain a dressing style of my own culture,Dressing style-My dressing style is somewhat Americanized,Food-I maintain an eating style of my own culture,Food-My eating style is somewhat Americanized,"Living community (e.g., Apartment complex)-I maintain a dressing style of my own cultureI live in a community where there are a lot of people of my own cultural background","Living community (e.g., Apartment complex)-I live in a community where residents are mainly Americans",Roommate choice (If you / have/had a roommate)-I choose to live with someone from my own culture,Roommate choice (If you / have/had a roommate)-I choose to live with someone who is an English speaker or someone I can practice English,Recreational activities-I maintain recreational activities of my own culture,Recreational activities-My recreational activities are somewhat Americanized,Friendship network-I maintain a good friendship network with people from my own culture,Friendship network-I have many American friends or friends from different cultural background,Pace of life-I maintain a pace of life which is similar to peers in my home country,Pace of life-My pace of life is similar to my American peers,"Reading-I spend a lot of time reading in my own language (e.g., online readings, emails, novels)","Reading-I spend a lot of time reading in English (e.g., academic papers, textbooks)","Writing-I spend a lot of time writing in my own language (e.g., emails, journal)",Writing-I spend a lot of time writing in English,Speaking-I spend a lot of time speaking in my own language,Speaking-I spend a lot of time speaking in English,Listening-I spend a lot of time listening to my own language,Listening-I spend a lot of time listening to English,Overall language usage-I spend a lot of time using my own language,Overall language usage-I make efforts to increase my opportunities to use English,Communication style-My communication style is similar to people from my own culture,"Communication style-My communication style is similar to American style (e.g., more direct)",Religious beliefs (if you have any)-My religious belief is similar to that of people from my own culture,Religious beliefs (if you have any)-My religious belief is similar to that of most Americans,"Church attendance (if you are attending a church)-I choose to attend a church of my own culture (e.g., Chinese church)",Church attendance (if you are attending a church)-I choose to attend an American church,Values-I maintain values of my own culture,Values-My values are somewhat Americanized,Social activities-I like to attend social activities held by my cultural group,Social activities-I like to attend social activities held by American or international group,Depression Happiness Scale A number of statements that people have used to describe how they feel / ar...,Click to write the question text-I felt sad,Click to write the question text-I felt I had failed as a person,Click to write the question text-I felt dissatisfied with my life,Click to write the question text-I felt mentally alert,Click to write the question text-I felt disappointed with myself,Click to write the question text-I felt cheerful,Click to write the question text-I felt life wasn’t worth living,Click to write the question text-I felt satisfied with my life,Click to write the question text-I felt healthy,Click to write the question text-I felt like crying,Click to write the question text-I felt I had been successful,Click to write the question text-I felt happy,Click to write the question text-I felt I couldn’t make decisions,Click to write the question text-I felt unattractive,Click to write the question text-I felt optimistic about the future,Click to write the question text-I felt life was rewarding,Click to write the question text-I felt cheerless,Click to write the question text-I felt life had a purpose,Click to write the question text-I felt too tired to do anything,Click to write the question text-I felt pleased with the way I am,Click to write the question text-I felt lethargic,Click to write the question text-I found it easy to make decisions,Click to write the question text-I felt life was enjoyable,Click to write the question text-I felt life was meaningless,Click to write the question text-I felt run down,Revised Internet Exposure Scale The / following questions ask about your Internet usage. Please answer...,"How / long have you used the Internet (for example, e-mail, newsgroups / bulletin /  / boards / / list serve...",Now / think about how much you use the Internet on an average day. Please indicate /  / the / number of minu...,"In / a typical day, on average, how much time do you spend on: Chatting/Instant Messager / with American...","In / a typical day, on average, how much time do you spend on: Reading American online / news","In / a typical day, on average, how much time do you spend on: Browsing American websites (e.g., faceb...","In / a typical day, on average, how much time do you spend on: Downloading American music,  / playing ga...","In / a typical day, on average, how much time do you spend on: Other American Internet Use (e.g., shop...","In / a typical day, on average, how much time do you spend on: E-mailing with Chinese","In / a typical day, on average, how much time do you spend on: Chatting/Instant Messager / with Chinese...","In / a typical day, on average, how much time do you spend on: Reading Chinese online news","In / a typical day, on average, how much time do you spend on: Browsing Chinese websites (e.g., RenRen...","In / a typical day, on average, how much time do you spend on: Downloading Chinese music, / play games,...","In / a typical day, on average, how much time do you spend on: Other Chinese Internet Use (e.g., shopp...",LocationLatitude,LocationLongitude,LocationAccuracy,
R_0PoCBg0yNT7ONN2,Default Response Set,Anonymous,,,,1,2011-11-17 16:13:56,2011-11-17 16:14:16,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,-1,
R_8p4mT94XqkfWGQ4,Default Response Set,Anonymous,,,,1,2011-11-17 16:17:23,2011-11-17 16:17:39,1,1,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,-1,
R_9p038RYQxIImr2I,Default Response Set,Anonymous,,,,1,2011-11-17 16:19:33,2011-11-17 16:20:04,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,-1,
R_brT7giEoxxoO9vK,Default Response Set,Anonymous,,,,1,2011-11-24 00:43:46,2011-11-24 00:43:51,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_bCWePz6H8my163W,Default Response Set,Anonymous,,,,1,2011-11-29 13:05:50,2011-11-29 13:06:48,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,-1,
R_8iYNpiJpYU5mimE,Default Response Set,Anonymous,,,,1,2011-11-29 13:08:08,2011-11-29 13:08:45,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,-1,
R_cJjAhoNgDqvbhYg,Default Response Set,Anonymous,,,129.118.141.127,0,2012-02-06 17:14:41,2012-02-06 17:15:33,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,-1,
R_aWvAc6FoxBTkHZi,Default Response Set,Anonymous,,,129.118.143.72,0,2012-02-08 10:32:38,2012-02-08 10:37:44,1,1,1,1,2,3,4,3,1,1,2,5,4,4,2,2,4,2,2,5,4,4,3,5,5,4,4,4,5,3,4,3,4,4,4,4,1,5,5,2,3,4,2,5,1,1,1,1,1,1,4,1,4,4,1,4,4,2,2,4,4,2,4,2,4,2,3,4,1,2,1,4,4,1,2,6,4,1,1,2,2,2,3,2,,,-1,
R_7ZOkqT09QAQu4U4,Default Response Set,Anonymous,,,141.212.233.1,0,2012-02-08 11:47:58,2012-02-08 11:59:29,1,1,1,1,1,4,4,3,,1,3,3,4,2,2,4,2,3,3,3,3,3,3,2,3,4,2,4,3,3,3,3,2,3,3,3,4,2,3,3,4,3,3,3,1,3,3,2,4,3,2,2,3,3,3,1,2,2,3,2,3,3,3,3,3,3,3,3,2,3,1,6,6,1,2,2,2,2,1,1,1,1,1,1,,,-1,
